Date/Time,Word Count,en,ja,ja-JP,th-TH
2018.10.20-12.19.15,204,204,0,0,0
2018.11.02-08.17.56,393,393,0,0,28
2018.11.02-08.58.02,393,393,0,0,131
2018.11.04-17.27.48,393,393,218,0,149
2018.11.04-17.36.37,355,355,195,0,134
2018.11.04-17.54.08,275,275,196,0,114
2018.11.04-18.45.52,275,275,213,0,114
2018.11.04-18.53.17,271,271,202,0,104
2018.11.04-19.29.54,271,271,203,0,104
2018.11.04-19.38.48,271,271,202,0,104
2018.11.04-19.44.59,271,271,203,0,104
2018.11.04-20.24.08,271,271,0,0,104
2018.11.04-21.23.49,271,271,0,85,104
2018.11.04-21.34.20,271,271,0,90,104
2018.11.04-21.44.49,271,271,0,111,104
2018.11.04-22.37.42,271,271,0,117,97
2018.11.04-22.55.32,271,271,0,130,97
